Location,Loc_Code,FilmDate,Disturbance,Loc_Disturbance,Bound,Notes,,,,,,,,,,,,,,,,,
Buck Island STX,BIX,2024-11-11,BL24,BIX_BL24,start,,,,,,,,,,,,,,,,,,
Buck Island STX,BIX,2025-04-11,BL24,BIX_BL24,end,,,,,,,,,,,,,,,,,,
Buck Island STX Deep,BID,2017-04-03,ID,BID_ID,,,,,,,,,,,,,,,,,,,
Buck Island STX Deep,BID,2018-11-01,ID,BID_ID,,,,,,,,,,,,,,,,,,,
Buck Island STX Deep,BID,2019-10-15,BL19,BID_BL19,start,,,,,,,,,,,,,,,,,,
Buck Island STX Deep,BID,2019-12-03,BL19,BID_BL19,end,repeat row,,,,,,,,,,,,,,,,,
Buck Island STX Deep,BID,2019-12-03,SCTLD,BID_SCTLD,start,,,,,,,,,,,,,,,,,,
Buck Island STX Deep,BID,2021-03-15,SCTLD,BID_SCTLD,interval,,,,,,,,,,,,,,,,,,
Buck Island STX Deep,BID,2021-11-15,SCTLD,BID_SCTLD,end,,,,,,,,,,,,,,,,,,
Buck Island STX Deep,BID,2022-10-19,ID,BID_ID,,,,,,,,,,,,,,,,,,,
Buck Island STX Deep,BID,2023-11-09,BL23,BID_BL23,start,,,,,,,,,,,,,,,,,,
Buck Island STX Deep,BID,2024-03-11,BL23,BID_BL23,end,,,,,,,,,,,,,,,,,,
Buck Island STX Deep,BID,2024-11-11,BL24,BID_BL24,start,,,,,,,,,,,,,,,,,,
Buck Island STX Deep,BID,2025-04-11,BL24,BID_BL24,end,,,,,,,,,,,,,,,,,,
Cane Bay,CBS,2001-04-25,ID,CBS_ID,,,,,,,,,,,,,,,,,,,
Cane Bay,CBS,2002-05-29,ID,CBS_ID,,,,,,,,,,,,,,,,,,,
Cane Bay,CBS,2003-04-21,ID,CBS_ID,,,,,,,,,,,,,,,,,,,
Cane Bay,CBS,2004-05-25,ID,CBS_ID,,,,,,,,,,,,,,,,,,,
Cane Bay,CBS,2005-08-29,ID,CBS_ID,,,,,,,,,,,,,,,,,,,
Cane Bay,CBS,2005-10-17,BL05,CBS_BL05,start,,,,,,,,,,,,,,,,,,
Cane Bay,CBS,2006-12-07,BL05,CBS_BL05,end,,,,,,,,,,,,,,,,,,
Cane Bay,CBS,2007-09-28,ID,CBS_ID,,,,,,,,,,,,,,,,,,,
Cane Bay,CBS,2008-09-03,ID,CBS_ID,,,,,,,,,,,,,,,,,,,
Cane Bay,CBS,2009-10-11,ID,CBS_ID,,,,,,,,,,,,,,,,,,,
Cane Bay,CBS,2010-08-08,ID,CBS_ID,,,,,,,,,,,,,,,,,,,
Cane Bay,CBS,2011-07-20,ID,CBS_ID,,,,,,,,,,,,,,,,,,,
Cane Bay,CBS,2012-08-12,ID,CBS_ID,,,,,,,,,,,,,,,,,,,
Cane Bay,CBS,2013-08-12,ID,CBS_ID,,,,,,,,,,,,,,,,,,,
Cane Bay,CBS,2014-10-12,ID,CBS_ID,,,,,,,,,,,,,,,,,,,
Cane Bay,CBS,2015-10-02,ID,CBS_ID,,,,,,,,,,,,,,,,,,,
Cane Bay,CBS,2016-10-12,Storm17,CBS_Storm17,start,,,,,,,,,,,,,,,,,,
Cane Bay,CBS,2018-02-27,Storm17,CBS_Storm17,end,,,,,,,,,,,,,,,,,,
Cane Bay,CBS,2018-11-05,ID,CBS_ID,,,,,,,,,,,,,,,,,,,
Cane Bay,CBS,2019-10-18,ID,CBS_ID,,,,,,,,,,,,,,,,,,,
Cane Bay,CBS,2019-12-02,SCTLD,CBS_SCTLD,start,,,,,,,,,,,,,,,,,,
Cane Bay,CBS,2021-04-06,SCTLD,CBS_SCTLD,interval,,,,,,,,,,,,,,,,,,
Cane Bay,CBS,2021-11-15,SCTLD,CBS_SCTLD,end,,,,,,,,,,,,,,,,,,
Cane Bay,CBS,2022-11-18,ID,CBS_ID,,,,,,,,,,,,,,,,,,,
Cane Bay,CBS,2023-11-12,BL23,CBS_BL23,start,,,,,,,,,,,,,,,,,,
Cane Bay,CBS,2024-03-13,BL23,CBS_BL23,end,,,,,,,,,,,,,,,,,,
Cane Bay,CBS,2024-11-12,BL24,CBS_BL24,start,,,,,,,,,,,,,,,,,,
Cane Bay,CBS,2025-04-16,BL24,CBS_BL24,end,,,,,,,,,,,,,,,,,,
Cane Bay Deep,CBD,2009-10-11,ID,CBD_ID,,,,,,,,,,,,,,,,,,,
Cane Bay Deep,CBD,2010-08-08,ID,CBD_ID,,,,,,,,,,,,,,,,,,,
Cane Bay Deep,CBD,2011-07-20,ID,CBD_ID,,,,,,,,,,,,,,,,,,,
Cane Bay Deep,CBD,2012-08-12,ID,CBD_ID,,,,,,,,,,,,,,,,,,,
Cane Bay Deep,CBD,2013-08-12,ID,CBD_ID,,,,,,,,,,,,,,,,,,,
